CustomerID,Lookalikes
C0001,"[('C0137', 0.9701731901666669), ('C0103', 0.9378195297618565), ('C0118', 0.9190960728567718)]"
C0002,"[('C0029', 0.9998288399426515), ('C0077', 0.9935600003622722), ('C0025', 0.9883543997893527)]"
C0003,"[('C0010', 0.9512746713612762), ('C0111', 0.929898750573486), ('C0176', 0.9233160878683158)]"
C0004,"[('C0075', 0.997040053875391), ('C0175', 0.9858067344780429), ('C0068', 0.985536431929228)]"
C0005,"[('C0130', 0.9976868953366967), ('C0128', 0.9967882800258125), ('C0020', 0.996286648585)]"
C0006,"[('C0196', 0.9958471099263071), ('C0079', 0.9886470629261831), ('C0168', 0.9775499797239865)]"
C0007,"[('C0085', 0.9966137235317949), ('C0125', 0.9964955038164919), ('C0078', 0.9903373809157161)]"
C0008,"[('C0179', 0.9947505687153797), ('C0090', 0.9847462169518871), ('C0194', 0.964927408004973)]"
C0009,"[('C0192', 0.9981708413696461), ('C0128', 0.9863188462537373), ('C0061', 0.9733981263993647)]"
C0010,"[('C0142', 0.984429522754443), ('C0121', 0.9728495972533684), ('C0094', 0.9651408756522772)]"
C0011,"[('C0023', 0.9946892352433108), ('C0100', 0.9706449078670281), ('C0064', 0.9540667870368414)]"
C0012,"[('C0045', 0.9957602176857092), ('C0143', 0.9943620564099976), ('C0041', 0.9929212111537203)]"
C0013,"[('C0059', 0.998211498967059), ('C0141', 0.9967780952868895), ('C0104', 0.9942600771616302)]"
C0014,"[('C0097', 0.9979543579222708), ('C0036', 0.9956639695421319), ('C0063', 0.9941218991210011)]"
C0015,"[('C0058', 0.9992204888991731), ('C0186', 0.9962257908126052), ('C0131', 0.9949657714763054)]"
C0016,"[('C0107', 0.9943112445386547), ('C0048', 0.9863255732603134), ('C0187', 0.9716090700738373)]"
C0017,"[('C0084', 0.9956752387087447), ('C0075', 0.9843646250128613), ('C0004', 0.984163421387726)]"
C0018,"[('C0165', 0.9839122029724804), ('C0182', 0.9645878610022552), ('C0143', 0.9517508057964925)]"
C0019,"[('C0172', 0.9432589295047479), ('C0088', 0.8679228128241516), ('C0086', 0.8297079039502946)]"
C0020,"[('C0167', 0.9996727715245367), ('C0130', 0.9977091782513159), ('C0005', 0.996286648585)]"
